Issue Type,Summary,Epic Name,Epic Link,Story Points,Priority,Labels,Description
Epic,POC Environment & Baseline,POC Environment & Baseline,,,High,dns-poc,"Controlled lab where only the logging mode varies, with trustworthy instrumentation."
Epic,Performance Testing,Performance Testing,,,High,dns-poc performance,"Quantify the DNS performance penalty of native query logging vs dnstap."
Epic,Data Quality & Forensics,Data Quality & Forensics,,,High,dns-poc security,"Prove which option actually answers the security and operations questions."
Epic,Scale Resilience & Storage,Scale Resilience & Storage,,,High,dns-poc,"Confirm always-on telemetry is safe and affordable at production scale."
Epic,Cost & Implementation,Cost & Implementation,,,High,dns-poc cost,"The 3-year business case and the rollout plan."
Epic,Decision & Recommendation,Decision & Recommendation,,,High,dns-poc,"Evidence-based, signed-off decision: native logging vs dnstap."
Story,A1 Stand up POC lab and load generator,,POC Environment & Baseline,3,High,dns-poc dnstap,"Non-prod NIOS member + dedicated dnsperf/dnstrace generator host. AC: member identified/built; generator on a separate box; collector reachable; member->collector:6001 open; topology documented."
Story,A2 Define load profiles and query mix,,POC Environment & Baseline,2,High,dns-poc performance,"AC: P1 steady, P2 peak, P3 bursty, P4 soak profiles with target QPS; query mix with cache-hit/miss(recursion)/NXDOMAIN and realistic qtype/qname; mix file in repo; identical replay across runs."
Story,A3 Instrument member and collector resource capture,,POC Environment & Baseline,2,Medium,dns-poc,"AC: member CPU/mem/IO captured (node_exporter or NIOS ibPlatformOne SNMP); collector/Prometheus/Loki use captured; results sheet keyed by (test,mode,profile,run#)."
Story,B1 Measure baseline DNS performance (no logging),,Performance Testing,3,High,dns-poc performance,"T1. AC: ramp QPS to SLA-break; record max sustainable QPS, p50/p95/p99 latency, member CPU/mem/IO; >=3 runs medians; baseline frozen as reference."
Story,B2 Measure native query-logging performance,,Performance Testing,5,High,dns-poc performance,"T2. AC: repeat all profiles with NIOS logging in 3 modes (queries; responses; both); report % QPS drop, latency delta, CPU/IO delta vs baseline; test Infoblox 'don't run both' guidance with data."
Story,B3 Measure dnstap performance,,Performance Testing,3,High,dns-poc dnstap,"T3. AC: repeat all profiles with dnstap->collector on and native off; report QPS/latency/CPU deltas vs baseline; confirm events arrive during load."
Story,B4 Head-to-head delta analysis,,Performance Testing,3,High,dns-poc performance,"T4. AC: charted native vs dnstap vs baseline at P2 peak; explicit penalty per option; which preserves more DNS headroom; feeds scorecard C1."
Story,C1 Data completeness and fidelity comparison,,Data Quality & Forensics,3,High,dns-poc dnstap,"T5. AC: sample N queries per path; verify dnstap correlates query+response, shows recursion, captures client IP/qname/qtype/rcode/timing; document native gaps (response not bundled)."
Story,C2 Security and forensics query evaluation,,Data Quality & Forensics,5,High,dns-poc security,"T10. AC: run threat-hunt queries on each dataset (tunneling via TXT/NULL/ANY volume, NXDOMAIN/DGA spikes, per-client domain history); record which option answers each; feeds scorecard C6."
Story,D1 Soak and sustained-scale test,,Scale Resilience & Storage,3,Medium,dns-poc performance,"T6. AC: P4 (2-4h) under native and dnstap; no CPU creep/memory leak/latency drift; collector keeps up; member stable."
Story,D2 Failure modes and backpressure,,Scale Resilience & Storage,5,High,dns-poc dnstap,"T7. AC: under load kill collector and drop network; prove DNS resolution stays healthy; characterize dnstap buffer/drop and native disk-full/IO-stall behavior; document worst case."
Story,D3 Storage volume and growth model,,Scale Resilience & Storage,3,High,dns-poc cost,"T8. AC: bytes/event and rate at P1/P2 per option; project GB/day at prod QPS and storage for 30/90/365-day retention; note compression; feeds TCO and scorecard C5."
Story,D4 Collector pipeline throughput,,Scale Resilience & Storage,3,Medium,dns-poc dnstap,"T9. AC: drive collector to event-rate ceiling; report max events/s before drop, Prometheus/Loki ingest headroom, Grafana responsiveness, host resource use; sizing + HA recommendation."
Story,D5 Interface and network validation,,Scale Resilience & Storage,2,Medium,dns-poc infoblox,"T11. AC: validate dnstap egress over LAN1 vs MGMT (out-of-band); confirm single rule DNS->collector:6001; confirm no data-plane coupling."
Story,E1 Three-year TCO model (both options),,Cost & Implementation,5,High,dns-poc cost,"AC: tabulate appliance/headroom impact, licensing (incl Data Connector VM if modeled), storage ($/GB x retention x GB/day from D3), SIEM ingest, FTE/ops over 3y for native vs dnstap; credit dnstap deferred-upgrade avoidance; finance review."
Story,E2 Implementation and day-2 operations plan,,Cost & Implementation,3,Medium,dns-poc infoblox,"AC: phased per-member rollout via InfoBlox Ops playbook; collector HA/sizing; retention policy; SIEM integration; alerting+dashboards; telemetry-host monitoring; change-window/restart guidance; rollback."
Story,E3 Privacy compliance and security review,,Cost & Implementation,3,High,dns-poc security,"AC: assess DNS-data sensitivity, retention limits, access control, encryption in transit, regulatory constraints for both options; Security/Compliance sign-off."
Story,F1 Complete scorecard and weighted analysis,,Decision & Recommendation,3,High,dns-poc,"AC: every scorecard cell filled from measured evidence; weighted totals per option; sensitivity noted (SIEM ingest cost, peak-QPS assumptions)."
Story,F2 Go/no-go recommendation and sign-off,,Decision & Recommendation,3,High,dns-poc,"AC: written recommendation per decision framework with evidence; presented to DDI+Security+Ops; decision recorded; if dnstap E2 becomes rollout plan, if native codify on-demand guardrails."
